id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
4831,Gas Giant,2022,0.14 Jupiters,0.674 x Jupiter,2.86 AU,5.8 years,0.0,
4832,Neptune-like,2022,6.4 Earths,0.215 x Jupiter,1.8 AU,7.6 years,0.0,
4833,Neptune-like,2022,16.3 Earths,0.373 x Jupiter,3.0 AU,6.6 years,0.0,
4834,Neptune-like,2022,20.1 Earths,0.422 x Jupiter,2.2 AU,4.8 years,0.0,
4835,Neptune-like,2020,6.228 Earths,0.212 x Jupiter,1.064 AU,2.5 years,0.0,
4836,Gas Giant,2021,0.32 Jupiters,1.1 x Jupiter,2.72 AU,9 years,0.0,
4837,Neptune-like,2019,13.93 Earths,0.34 x Jupiter,0.97 AU,2 years,0.0,
4838,Super Earth,2020,3.96 Earths,1.82 x Earth,0.63 AU,1.4 years,0.0,
4839,Gas Giant,2019,4.8 Jupiters,1.15 x Jupiter,5.0 AU,15 years,0.0,
4840,Gas Giant,2022,0.26 Jupiters,0.971 x Jupiter,1.28 AU,4.8 years,0.0,
4841,Gas Giant,2022,0.89 Jupiters,1.24 x Jupiter,1.75 AU,2.7 years,0.0,
4842,Gas Giant,2021,1.34 Jupiters,1.22 x Jupiter,3.59 AU,9.3 years,0.0,
4843,Neptune-like,2022,6.4 Earths,0.215 x Jupiter,2.0 AU,4.1 years,0.0,
4844,Gas Giant,2019,1.8 Jupiters,1.2 x Jupiter,1.8 AU,5.7 years,0.0,
4845,Gas Giant,2019,2.8 Jupiters,1.18 x Jupiter,0.8 AU,1.7 years,0.0,
4846,Gas Giant,2022,0.91 Jupiters,1.24 x Jupiter,4.06 AU,11.8 years,0.0,
4847,Neptune-like,2022,17.79839 Earths,0.393 x Jupiter,3.23 AU,7 years,0.0,
4848,Neptune-like,2021,8.4 Earths,0.253 x Jupiter,1.54 AU,3.1 years,0.0,
4849,Gas Giant,2022,0.2 Jupiters,0.832 x Jupiter,1.68 AU,5.4 years,0.0,
4850,Gas Giant,2020,0.67 Jupiters,1.25 x Jupiter,4.51 AU,9.1 years,0.0,
4851,Gas Giant,2022,0.95 Jupiters,1.23 x Jupiter,1.21 AU,2.5 years,0.0,
4852,Gas Giant,2021,0.77 Jupiters,1.25 x Jupiter,3.3 AU,9.1 years,0.0,
4853,Gas Giant,2022,0.97 Jupiters,1.23 x Jupiter,1.36 AU,5.3 years,0.0,
4854,Gas Giant,2020,4.4 Jupiters,1.15 x Jupiter,2.8 AU,7.2 years,0.0,
4855,Gas Giant,2023,7.12 Jupiters,1.13 x Jupiter,1.84 AU,2.6 years,0.0,
4856,Gas Giant,2021,6.22 Jupiters,1.14 x Jupiter,2.8 AU,6.1 years,0.0,
4857,Gas Giant,2021,0.51 Jupiters,1.27 x Jupiter,1.23 AU,2.6 years,0.0,
4858,Gas Giant,2022,3.26 Jupiters,1.17 x Jupiter,2.18 AU,5 years,0.0,
4859,Gas Giant,2022,3.43 Jupiters,1.17 x Jupiter,3.29 AU,6.2 years,0.0,
4860,Gas Giant,2022,10.22 Jupiters,1.11 x Jupiter,2.77 AU,4.8 years,0.0,
4861,Gas Giant,2023,3.34 Jupiters,1.17 x Jupiter,6.99 AU,22.8 years,0.0,
4862,Gas Giant,2021,14.2 Jupiters,1.1 x Jupiter,2.65 AU,4.8 years,0.0,
4863,Super Earth,2021,2.5 Earths,1.39 x Earth,1.9 AU,3.7 years,0.0,
4864,Super Earth,2021,2.48 Earths,1.38 x Earth,3.4 AU,8 years,0.0,
4865,Gas Giant,2022,2.2 Jupiters,1.19 x Jupiter,3.2 AU,7.6 years,0.0,
4866,Neptune-like,2022,37.1 Earths,0.606 x Jupiter,2.7 AU,5.4 years,0.0,
4867,Gas Giant,2008,4.5 Jupiters,1.61 x Jupiter,0.0308 AU,2.5 days,0.0,
4868,Gas Giant,2004,0.62 Jupiters,1.25 x Jupiter,0.0434 AU,3.1 days,< 0.82,
4869,Gas Giant,2004,0.55 Jupiters,1.019 x Jupiter,0.0473 AU,4 days,< 0.54,
4870,Gas Giant,2004,1.26 Jupiters,1.093 x Jupiter,0.02289 AU,1.4 days,< 0.15,
4871,Gas Giant,2004,1.18 Jupiters,1.2 x Jupiter,0.03035 AU,1.7 days,< 0.6,
4872,Gas Giant,2007,1.01 Jupiters,1.13 x Jupiter,0.051 AU,4 days,0.0,
4873,Gas Giant,2007,1.03 Jupiters,1.36 x Jupiter,0.051 AU,3.7 days,0.0,
4874,Gas Giant,2002,1.39 Jupiters,1.363 x Jupiter,0.02383 AU,1.2 days,< 0.67,
4875,Gas Giant,2013,1.7 Jupiters,1.2 x Jupiter,1.1 AU,277 days,0.11,
4876,Gas Giant,2012,1.5 Jupiters,1.21 x Jupiter,0.83 AU,187.8 days,0.19,
4877,Gas Giant,2012,4.1 Jupiters,1.16 x Jupiter,3.9 AU,4.5 years,0.13,
4878,Gas Giant,2006,14 Jupiters,1.1 x Jupiter,243.0 AU,20000 years,0.0,
4879,Gas Giant,2018,3 Jupiters,2.72 x Jupiter,20.0 AU,119.2 years,0.19,
4880,Gas Giant,2019,2 Jupiters,2.04 x Jupiter,34.0 AU,227.5 years,0.11,
4881,Neptune-like,2012,0.531 Jupiters,0.551 x Jupiter,0.652 AU,138.3 days,0.07,
4882,Gas Giant,2013,80 Jupiters,0.903 x Jupiter,0.828 AU,282.5 days,0.41,
4883,Neptune-like,2018,3.63 Earths,2.06 x Earth,0.069 AU,6.3 days,0.08,
4884,Neptune-like,2022,13.38 Earths,0.332 x Jupiter,Unknown,124.6 days,0.22,
4885,Gas Giant,2013,2.31 Jupiters,0.941 x Jupiter,0.03734 AU,3.2 days,0.0,
4886,Gas Giant,2012,0.54 Jupiters,1.27 x Jupiter,0.06 AU,4.4 days,0.0,
4887,Gas Giant,2012,1.88 Jupiters,1.2 x Jupiter,0.03176 AU,2.1 days,0.01,
4888,Gas Giant,2016,7.79 Jupiters,1.12 x Jupiter,5.5 AU,13.3 years,0.71,
4889,Super Earth,2016,1.07 Earths,1.03 x Earth,0.04856 AU,11.2 days,0.02,
4890,Gas Giant,2015,1.53 Jupiters,1.21 x Jupiter,4.43 AU,8.5 years,0.4,
4891,Super Earth,2017,1.97 Earths,1.22 x Earth,10.26 AU,27.8 years,0.24,Pulsar Timing
