id,planet_type,discovery_date,mass,planet_radius,orbital_radius,orbital_period,eccentricity,detection_method
974,Gas Giant,2009,1.47 Jupiters,1.21 x Jupiter,2.34 AU,3.2 years,0.76,
975,Gas Giant,2014,0.47 Jupiters,1.27 x Jupiter,2.69 AU,4.6 years,0.18,
976,Gas Giant,2011,1.547 Jupiters,1.21 x Jupiter,1.85 AU,2.3 years,0.06,
977,Gas Giant,2010,0.62 Jupiters,1.26 x Jupiter,1.26 AU,466 days,0.3,
978,Neptune-like,2019,10.47 Earths,0.288 x Jupiter,0.1254 AU,16.6 days,0.1,
979,Neptune-like,2019,14.16 Earths,0.343 x Jupiter,0.2663 AU,51.2 days,0.04,
980,Neptune-like,2019,11.82 Earths,0.309 x Jupiter,0.8098 AU,271.7 days,0.24,
981,Super Earth,2016,4.97 Earths,1.67 x Earth,0.01796 AU,1 days,0.0,
982,Neptune-like,2016,11.13 Earths,0.268 x Jupiter,0.1776 AU,29.8 days,< 0.06,
983,Super Earth,2017,4.33 Earths,1.92 x Earth,0.0763 AU,8.4 days,< 0.12,
984,Neptune-like,2022,8.41 Earths,0.253 x Jupiter,0.3885 AU,96.6 days,< 0.15,
985,Gas Giant,2009,3.04 Jupiters,1.17 x Jupiter,0.59 AU,157.5 days,0.01,
986,Gas Giant,2015,2.07 Jupiters,1.19 x Jupiter,3.41 AU,6.5 years,0.07,
987,Gas Giant,2004,0.48 Jupiters,1.27 x Jupiter,0.04 AU,3.4 days,0.0,
988,Gas Giant,2021,1.5 Jupiters,1.21 x Jupiter,1.44 AU,1.7 years,0.59,
989,Gas Giant,2011,1.26 Jupiters,1.22 x Jupiter,1.074 AU,330 days,0.05,
990,Gas Giant,2018,0.89 Jupiters,1.24 x Jupiter,1.955 AU,2.2 years,0.08,
991,Gas Giant,2022,0.2 Jupiters,0.832 x Jupiter,0.452 AU,89.9 days,0.19,
992,Gas Giant,2020,0.244 Jupiters,0.867 x Jupiter,0.1436 AU,18.7 days,0.03,
993,Gas Giant,2006,0.329 Jupiters,1.12 x Jupiter,0.1508 AU,18.2 days,0.4,
994,Gas Giant,2005,9.1 Jupiters,1.12 x Jupiter,1.1 AU,388 days,0.34,
995,Gas Giant,2015,2.01 Jupiters,1.19 x Jupiter,1.6 AU,1.5 years,0.15,
996,Gas Giant,2015,1.75 Jupiters,1.2 x Jupiter,2.24 AU,2.5 years,0.13,
997,Gas Giant,2009,0.82 Jupiters,1.24 x Jupiter,2.07 AU,2.9 years,0.27,
998,Gas Giant,2017,0.168 Jupiters,0.752 x Jupiter,0.7181 AU,214.7 days,0.04,
999,Neptune-like,2017,30.7 Earths,0.542 x Jupiter,0.4817 AU,117.9 days,0.03,
1000,Neptune-like,2017,16.8 Earths,0.38 x Jupiter,0.2687 AU,49.2 days,0.09,
1001,Neptune-like,2017,37.9 Earths,0.613 x Jupiter,1.543 AU,1.9 years,0.03,
1002,Gas Giant,2017,0.38 Jupiters,1.21 x Jupiter,6.36 AU,15.6 years,0.03,
1003,Gas Giant,2016,3.76 Jupiters,1.16 x Jupiter,0.389 AU,82.5 days,0.39,
1004,Gas Giant,2021,0.75 Jupiters,1.25 x Jupiter,0.98 AU,273.1 days,0.14,
1005,Gas Giant,2003,0.228 Jupiters,0.899 x Jupiter,0.295 AU,62.3 days,0.65,
1006,Gas Giant,2002,0.675 Jupiters,1.25 x Jupiter,0.53364 AU,154.4 days,0.05,
1007,Gas Giant,2002,0.652 Jupiters,1.25 x Jupiter,1.71 AU,2.4 years,0.13,
1008,Gas Giant,2005,0.696 Jupiters,1.25 x Jupiter,2.807 AU,5.1 years,0.16,
1009,Gas Giant,2004,2.69 Jupiters,1.18 x Jupiter,0.277 AU,55 days,0.67,
1010,Gas Giant,2012,3.19 Jupiters,1.17 x Jupiter,3.74 AU,7.5 years,0.03,
1011,Gas Giant,2021,0.173 Jupiters,0.764 x Jupiter,2.108 AU,3.3 years,0.3,
1012,Gas Giant,2010,0.4 Jupiters,1.25 x Jupiter,1.02 AU,363.2 days,0.41,
1013,Gas Giant,2000,0.65 Jupiters,1.25 x Jupiter,0.115 AU,14.3 days,0.26,
1014,Gas Giant,2000,10.38 Jupiters,1.11 x Jupiter,3.226 AU,5.8 years,0.36,
1015,Gas Giant,2009,9.698 Jupiters,1.11 x Jupiter,1.623 AU,1.9 years,0.02,
1016,Gas Giant,2001,12.325 Jupiters,1.1 x Jupiter,3.311 AU,5.7 years,0.64,
1017,Super Earth,2021,4 Earths,1.83 x Earth,0.056 AU,5.6 days,< 0.207,
1018,Neptune-like,2021,6.3 Earths,0.213 x Jupiter,0.103 AU,14 days,< 0.154,
1019,Super Earth,2021,4 Earths,1.83 x Earth,0.185 AU,33.9 days,< 0.333,
1020,Neptune-like,2019,8.5 Earths,0.254 x Jupiter,0.041 AU,3.2 days,0.14,
1021,Super Earth,2009,4 Earths,1.83 x Earth,0.0468 AU,4.3 days,0.2,
1022,Neptune-like,2009,6.6 Earths,0.219 x Jupiter,0.0799 AU,9.6 days,0.06,
1023,Neptune-like,2009,9.5 Earths,0.272 x Jupiter,0.1321 AU,20.4 days,0.07,
1024,Neptune-like,2013,5.2 Earths,2.13 x Earth,0.247 AU,51.8 days,0.02,
1025,Neptune-like,2013,7.1 Earths,0.229 x Jupiter,0.6 AU,197.8 days,0.29,
1026,Gas Giant,2017,2.7 Jupiters,1.18 x Jupiter,1.4 AU,1.6 years,0.24,
1027,Gas Giant,2002,4.67 Jupiters,1.15 x Jupiter,0.85 AU,264.1 days,0.25,
1028,Gas Giant,2004,2.54 Jupiters,1.18 x Jupiter,Unknown,2.6 years,0.74,
1029,Gas Giant,2003,18.37 Jupiters,1.08 x Jupiter,Unknown,1.3 days,0.08,
1030,Gas Giant,2007,1.703 Jupiters,1.2 x Jupiter,1.28 AU,1.4 years,0.9,
1031,Gas Giant,2017,1.6 Jupiters,1.21 x Jupiter,1.67 AU,2.3 years,< 0.2,
1032,Gas Giant,2001,2.23 Jupiters,1.19 x Jupiter,1.17 AU,431.9 days,0.52,
1033,Gas Giant,2014,2.17 Jupiters,1.19 x Jupiter,6.95 AU,18.4 years,0.24,
1034,Gas Giant,2001,0.81 Jupiters,1.24 x Jupiter,1.662 AU,2.3 years,0.04,
1035,Neptune-like,2016,14.4 Earths,0.347 x Jupiter,0.554 AU,149.6 days,0.19,
1036,Neptune-like,2005,15.8915 Earths,0.368 x Jupiter,0.12 AU,15.6 days,0.0,
1037,Gas Giant,2009,1.927 Jupiters,1.2 x Jupiter,1.157 AU,356.2 days,0.15,
1038,Gas Giant,2010,0.553 Jupiters,1.26 x Jupiter,0.882 AU,308.9 days,0.74,
1039,Gas Giant,2022,7.868 Jupiters,1.12 x Jupiter,8.54 AU,25.5 years,0.15,
1040,Gas Giant,2007,2.55 Jupiters,1.18 x Jupiter,0.238 AU,37 days,0.08,
1041,Gas Giant,2010,0.58 Jupiters,1.26 x Jupiter,1.19 AU,472.3 days,0.61,
1042,Neptune-like,2019,12.19 Earths,0.314 x Jupiter,0.0644 AU,5.9 days,0.07,
1043,Neptune-like,2019,8.81 Earths,0.26 x Jupiter,0.11 AU,13.1 days,0.07,
1044,Gas Giant,2004,1.79 Jupiters,1.2 x Jupiter,1.92 AU,2.6 years,0.78,
1045,Gas Giant,2008,0.1893 Jupiters,0.805 x Jupiter,0.6793 AU,225.8 days,0.07,
1046,Gas Giant,2008,0.549 Jupiters,1.26 x Jupiter,0.902 AU,345.4 days,0.02,
1047,Gas Giant,2008,0.433 Jupiters,1.28 x Jupiter,0.237 AU,44.1 days,0.61,
1048,Gas Giant,2022,26.572 Jupiters,1.07 x Jupiter,15.369 AU,55.7 years,0.57,
1049,Gas Giant,2000,0.226 Jupiters,0.894 x Jupiter,0.0398 AU,3 days,0.06,
1050,Neptune-like,2008,22.2481 Earths,0.448 x Jupiter,0.05 AU,4.1 days,0.04,
1051,Gas Giant,2008,0.35061 Jupiters,1.16 x Jupiter,2.395 AU,3.7 years,0.25,
1052,Gas Giant,2012,2.37 Jupiters,1.19 x Jupiter,1.19 AU,360.2 days,0.13,
1053,Gas Giant,2012,2.37 Jupiters,1.19 x Jupiter,4.6 AU,7.5 years,0.23,
1054,Gas Giant,2016,2.3 Jupiters,1.19 x Jupiter,1.28 AU,359.2 days,0.06,
1055,Gas Giant,2016,1.88 Jupiters,1.2 x Jupiter,1.97 AU,1.9 years,0.1,
1056,Gas Giant,2002,7.32 Jupiters,1.13 x Jupiter,1.93 AU,2 years,0.2,
1057,Gas Giant,2021,13.9 Jupiters,1.1 x Jupiter,1.14 AU,434 days,0.23,
1058,Gas Giant,2008,1.525 Jupiters,1.21 x Jupiter,1.814 AU,2.1 years,0.21,
1059,Gas Giant,2018,1.615 Jupiters,1.21 x Jupiter,1.167 AU,400.5 days,0.07,
1060,Neptune-like,2002,31.783 Earths,0.553 x Jupiter,0.06 AU,4.9 days,0.09,
1061,Gas Giant,2005,1.636 Jupiters,1.2 x Jupiter,3.833 AU,6.7 years,0.27,
1062,Gas Giant,2019,2.93 Jupiters,1.17 x Jupiter,9.02 AU,23.6 years,0.0,
1063,Gas Giant,2002,5.85 Jupiters,1.14 x Jupiter,2.353 AU,3.5 years,0.5,
1064,Neptune-like,2019,12.77 Earths,0.323 x Jupiter,0.1059 AU,14.1 days,0.09,
1065,Neptune-like,2019,14.31 Earths,0.346 x Jupiter,0.3809 AU,95.9 days,0.14,
1066,Gas Giant,2000,1.21 Jupiters,1.22 x Jupiter,0.52 AU,119.3 days,0.27,
1067,Neptune-like,2021,7.8 Earths,0.219 x Jupiter,0.1202 AU,14.3 days,0.08,
1068,Neptune-like,2021,18.4 Earths,0.401 x Jupiter,0.2416 AU,40.9 days,0.07,
1069,Gas Giant,2007,1.556 Jupiters,1.21 x Jupiter,1.57 AU,1.7 years,0.09,
1070,Gas Giant,2014,1.053 Jupiters,1.23 x Jupiter,1.93 AU,2.4 years,0.18,
1071,Gas Giant,2018,4.27 Jupiters,1.16 x Jupiter,3.18 AU,5 years,0.71,
1072,Gas Giant,2016,5.78 Jupiters,1.14 x Jupiter,0.53 AU,139.4 days,0.08,
1073,Gas Giant,2012,1.681 Jupiters,1.2 x Jupiter,1.911 AU,2.1 years,0.06,
1074,Neptune-like,2022,13.3 Earths,0.331 x Jupiter,0.229 AU,29 days,< 0.68,
1075,Gas Giant,2014,0.33 Jupiters,1.12 x Jupiter,1.2 AU,492.3 days,0.1,
1076,Gas Giant,2022,5.918 Jupiters,1.14 x Jupiter,6.426 AU,16.1 years,0.27,
1077,Gas Giant,2011,7.63 Jupiters,1.13 x Jupiter,0.64 AU,177.1 days,0.07,
1078,Gas Giant,2016,6.92 Jupiters,1.13 x Jupiter,1.086 AU,299.4 days,0.05,
1079,Gas Giant,2020,6.5 Jupiters,1.13 x Jupiter,1.5 AU,495.4 days,0.27,
1080,Gas Giant,2008,1.06 Jupiters,1.23 x Jupiter,0.77 AU,201.9 days,0.26,
1081,Gas Giant,2008,2.51 Jupiters,1.18 x Jupiter,1.6 AU,1.6 years,0.03,
1082,Gas Giant,2022,17.46 Jupiters,1.09 x Jupiter,6.248 AU,14.2 years,0.61,
1083,Gas Giant,2022,24.93 Jupiters,1.07 x Jupiter,36.984 AU,205 years,0.77,
1084,Gas Giant,2006,2.3 Jupiters,1.19 x Jupiter,1.64 AU,1.6 years,0.02,
1085,Gas Giant,2022,8.519 Jupiters,1.12 x Jupiter,11.842 AU,39.2 years,0.15,
1086,Neptune-like,2020,5.27 Earths,2.15 x Earth,0.0719 AU,7.1 days,0.0,
1087,Neptune-like,2020,7.61 Earths,0.238 x Jupiter,0.1458 AU,20.5 days,0.0,
1088,Gas Giant,2005,0.25 Jupiters,1.098 x Jupiter,0.04 AU,2.8 days,0.0,
1089,Gas Giant,2009,0.53 Jupiters,1.27 x Jupiter,0.94 AU,358 days,0.24,
1090,Neptune-like,2021,10.8 Earths,0.267 x Jupiter,Unknown,9.1 days,0.0,
1091,Neptune-like,2021,11.1 Earths,0.259 x Jupiter,Unknown,21.4 days,0.0,
1092,Neptune-like,2019,17.8 Earths,0.393 x Jupiter,0.246 AU,45.8 days,0.12,
1093,Gas Giant,2022,2.56 Jupiters,1.18 x Jupiter,1.51 AU,1.7 years,0.11,
1094,Gas Giant,2003,0.49 Jupiters,1.27 x Jupiter,0.14 AU,22 days,0.17,
1095,Gas Giant,2003,1.295 Jupiters,1.22 x Jupiter,1.301 AU,1.6 years,0.27,
1096,Gas Giant,2013,2.03 Jupiters,1.19 x Jupiter,5.75 AU,14.7 years,0.17,
1097,Gas Giant,2012,6 Jupiters,1.14 x Jupiter,1.2 AU,480.5 days,0.07,
1098,Gas Giant,2005,10.946 Jupiters,1.11 x Jupiter,3.395 AU,6.2 years,0.47,
1099,Gas Giant,2021,1.764 Jupiters,1.2 x Jupiter,9.408 AU,28.7 years,0.21,
1100,Gas Giant,2015,3.06 Jupiters,1.17 x Jupiter,1.08 AU,352.2 days,0.17,
1101,Gas Giant,2015,4.85 Jupiters,1.15 x Jupiter,3.86 AU,6.5 years,0.76,
1102,Gas Giant,2009,1.68 Jupiters,1.2 x Jupiter,3.55 AU,6.8 years,0.1,
1103,Gas Giant,2016,7.9 Jupiters,1.12 x Jupiter,2.18 AU,3 years,0.03,
1104,Gas Giant,2001,1.97 Jupiters,1.2 x Jupiter,0.07 AU,6.3 days,0.12,
1105,Gas Giant,2021,15 Jupiters,1.09 x Jupiter,13.2 AU,43.8 years,0.45,
1106,Gas Giant,2022,3.09 Jupiters,1.17 x Jupiter,2.482 AU,3.3 years,0.19,
1107,Neptune-like,2006,10.2 Earths,0.283 x Jupiter,0.0785 AU,8.7 days,0.1,
1108,Neptune-like,2006,11.8 Earths,0.309 x Jupiter,0.186 AU,31.6 days,0.13,
1109,Neptune-like,2006,18.1 Earths,0.397 x Jupiter,0.63 AU,197 days,0.07,
1110,Gas Giant,2007,6.1 Jupiters,1.14 x Jupiter,1.76 AU,2.3 years,0.4,
1111,Gas Giant,2003,3.9 Jupiters,1.16 x Jupiter,3.318 AU,5.8 years,0.18,
1112,Gas Giant,2011,0.27 Jupiters,0.993 x Jupiter,1.36 AU,1.7 years,0.19,
1113,Gas Giant,2018,1.768 Jupiters,1.2 x Jupiter,1.88 AU,2.4 years,0.12,
1114,Gas Giant,2002,2.988 Jupiters,1.17 x Jupiter,4.691 AU,9.7 years,0.26,
1115,Gas Giant,2022,18.806 Jupiters,1.08 x Jupiter,13.959 AU,49.9 years,0.09,
1116,Gas Giant,2016,5.468 Jupiters,1.14 x Jupiter,0.228 AU,39.4 days,0.42,
1117,Gas Giant,2008,4.158 Jupiters,1.16 x Jupiter,2.229 AU,3.4 years,0.26,
1118,Gas Giant,2022,5.131 Jupiters,1.15 x Jupiter,12.688 AU,46.8 years,0.09,
1119,Gas Giant,2002,3.08 Jupiters,1.17 x Jupiter,0.65 AU,188.3 days,0.19,
1120,Gas Giant,2005,2.25 Jupiters,1.19 x Jupiter,1.03 AU,379.1 days,0.28,
1121,Gas Giant,2008,1.112 Jupiters,1.23 x Jupiter,2.99 AU,4.8 years,0.13,
1122,Neptune-like,2022,10.2 Earths,0.249 x Jupiter,0.0604 AU,6.4 days,0.09,
1123,Super Earth,2022,9.7 Earths,0.213 x Jupiter,0.1242 AU,18.9 days,0.08,
1124,Gas Giant,2003,1.675 Jupiters,1.2 x Jupiter,0.28 AU,51.6 days,0.64,
1125,Gas Giant,2003,8.665 Jupiters,1.12 x Jupiter,3.678 AU,6.7 years,0.38,
1126,Gas Giant,2011,8.174 Jupiters,1.12 x Jupiter,2.438 AU,3.5 years,0.75,
1127,Gas Giant,1999,0.49 Jupiters,1.27 x Jupiter,0.05 AU,3.5 days,0.03,
1128,Gas Giant,2014,1 Jupiter,1.23 x Jupiter,1.032 AU,341.2 days,0.1,
1129,Gas Giant,2018,5.64 Jupiters,1.14 x Jupiter,8.4 AU,21.6 years,0.49,
1130,Gas Giant,2007,2.71 Jupiters,1.18 x Jupiter,1.191 AU,422.9 days,0.11,
1131,Gas Giant,2002,0.21 Jupiters,0.856 x Jupiter,0.05 AU,4 days,0.09,
1132,Gas Giant,2017,3.93 Jupiters,1.16 x Jupiter,1.149 AU,415.4 days,0.86,
1133,Neptune-like,2012,15.9 Earths,0.368 x Jupiter,0.06 AU,5.7 days,0.09,
1134,Gas Giant,2021,0.64 Jupiters,1.26 x Jupiter,0.9 AU,273.1 days,0.26,
1135,Neptune-like,2008,6.3566 Earths,0.214 x Jupiter,0.06 AU,5.4 days,0.06,
1136,Neptune-like,2015,7.86 Earths,0.243 x Jupiter,0.1134 AU,15.3 days,0.1,
1137,Neptune-like,2015,6.44 Earths,0.216 x Jupiter,0.1551 AU,24.5 days,0.21,
1138,Gas Giant,2011,1.34 Jupiters,1.22 x Jupiter,2.98 AU,5 years,0.58,
1139,Gas Giant,2001,4.38 Jupiters,1.07 x Jupiter,0.4565 AU,111.4 days,0.93,
1140,Super Earth,2020,5.72 Earths,1.613 x Earth,0.01661 AU,0.7 days,0.0,
1141,Gas Giant,2021,5.065 Jupiters,1.15 x Jupiter,2.905 AU,4.8 years,0.92,
1142,Gas Giant,2022,5.5 Jupiters,1.14 x Jupiter,6.462 AU,17.5 years,0.2,
1143,Gas Giant,2022,23.614 Jupiters,1.07 x Jupiter,9.95 AU,29.7 years,0.31,
1144,Gas Giant,2005,6.768 Jupiters,1.13 x Jupiter,1.988 AU,2.8 years,0.56,
1145,Gas Giant,2007,2.7 Jupiters,1.18 x Jupiter,0.81 AU,184 days,0.0,
1146,Gas Giant,2020,24.128 Jupiters,1.07 x Jupiter,3.233 AU,2.8 years,0.1,
1147,Gas Giant,2022,22.609 Jupiters,1.07 x Jupiter,2.325 AU,1.7 years,0.1,
1148,Gas Giant,2011,2.33 Jupiters,1.19 x Jupiter,1.58 AU,1.9 years,0.07,
1149,Gas Giant,2003,1.681 Jupiters,1.2 x Jupiter,1.18306 AU,441.5 days,0.16,
1150,Gas Giant,2003,1.959 Jupiters,1.2 x Jupiter,0.74345 AU,220.1 days,0.37,
1151,Gas Giant,2019,0.20955 Jupiters,0.855 x Jupiter,0.533 AU,159 days,0.2,
1152,Gas Giant,2002,0.402 Jupiters,1.25 x Jupiter,0.0406 AU,3 days,0.01,
1153,Gas Giant,2022,1.5 Jupiters,1.21 x Jupiter,8.0 AU,22.6 years,0.76,
1154,Gas Giant,2010,0.68 Jupiters,1.25 x Jupiter,2.45 AU,3.6 years,0.15,
1155,Neptune-like,2009,31.46517 Earths,0.55 x Jupiter,1.373 AU,2.2 years,0.5,
1156,Super Earth,2011,3.6 Earths,1.72 x Earth,0.26 AU,58.4 days,0.11,
1157,Gas Giant,2002,2.03 Jupiters,1.19 x Jupiter,0.76 AU,227 days,0.3,
1158,Gas Giant,2022,9.053 Jupiters,1.12 x Jupiter,15.947 AU,70.6 years,0.22,
1159,Gas Giant,2006,1.48 Jupiters,1.21 x Jupiter,0.0346 AU,2.1 days,0.01,
1160,Gas Giant,2009,0.45 Jupiters,1.28 x Jupiter,2.73 AU,4.5 years,0.06,
1161,Super Earth,2020,7.25 Earths,2.16 x Earth,0.049 AU,4 days,0.08,
1162,Gas Giant,2009,9.808 Jupiters,1.11 x Jupiter,2.763 AU,4.1 years,0.82,
1163,Gas Giant,2009,13.248 Jupiters,1.1 x Jupiter,2.97 AU,4.5 years,0.73,
1164,Gas Giant,2016,3.6 Jupiters,1.16 x Jupiter,2.72 AU,3.5 years,0.17,
1165,Gas Giant,2016,12.4 Jupiters,1.1 x Jupiter,0.117 AU,13.5 days,0.05,
1166,Gas Giant,2009,5.409 Jupiters,1.14 x Jupiter,4.055 AU,9.1 years,0.71,
1167,Gas Giant,2022,7.903 Jupiters,1.12 x Jupiter,13.895 AU,50.8 years,0.16,
1168,Gas Giant,2004,1.02 Jupiters,1.23 x Jupiter,0.0479 AU,3.4 days,0.03,
1169,Gas Giant,2009,2.02 Jupiters,1.19 x Jupiter,3.27 AU,5.9 years,0.2,
1170,Neptune-like,2018,34.9613 Earths,0.66 x Jupiter,0.1066 AU,11.8 days,0.22,
1171,Gas Giant,1999,8.35 Jupiters,1.12 x Jupiter,0.917 AU,256.8 days,0.68,
1172,Gas Giant,2023,5.01 Jupiters,1.15 x Jupiter,4.761 AU,9.4 years,0.19,
1173,Neptune-like,2009,17.98 Earths,0.395 x Jupiter,0.25 AU,49.8 days,0.31,
1174,Gas Giant,2016,1.11 Jupiters,1.23 x Jupiter,2.2 AU,3.2 years,0.12,
1175,Gas Giant,2000,3.76 Jupiters,1.16 x Jupiter,0.97 AU,325.8 days,0.35,
1176,Gas Giant,2019,3.67 Jupiters,1.16 x Jupiter,10.5 AU,31.8 years,0.46,
1177,Gas Giant,2005,0.37 Jupiters,1.2 x Jupiter,0.477 AU,143.6 days,0.14,
1178,Super Earth,2022,3.49611 Earths,1.69 x Earth,0.035 AU,2.5 days,0.55,
1179,Gas Giant,2022,13.07 Jupiters,1.1 x Jupiter,11.154 AU,38.4 years,0.11,
1180,Super Earth,2021,4.2 Earths,1.88 x Earth,0.0756 AU,7.3 days,< 0.295,
1181,Neptune-like,2021,7.1 Earths,0.229 x Jupiter,0.112 AU,13.2 days,< 0.2,
1182,Neptune-like,2021,8.7 Earths,0.258 x Jupiter,0.2565 AU,45.9 days,0.09,
1183,Super Earth,2022,7.8 Earths,1.35 x Earth,0.02085 AU,1 days,0.0,
1184,Super Earth,2022,19.2 Earths,0.288 x Jupiter,0.04813 AU,3.6 days,0.0,
1185,Gas Giant,2009,0.7 Jupiters,1.25 x Jupiter,0.189 AU,30.1 days,0.2,
1186,Gas Giant,2009,1.82 Jupiters,1.2 x Jupiter,0.654 AU,192.9 days,0.06,
1187,Gas Giant,2018,1.26 Jupiters,1.22 x Jupiter,2.74 AU,4.3 years,0.14,
1188,Gas Giant,2013,5 Jupiters,1.15 x Jupiter,55.7 AU,328.8 years,0.0,
1189,Gas Giant,2009,1.26 Jupiters,1.22 x Jupiter,1.36 AU,464.4 days,0.12,
1190,Gas Giant,2018,3.45 Jupiters,1.17 x Jupiter,3.33 AU,4.9 years,0.28,
1191,Gas Giant,2015,10.63 Jupiters,1.11 x Jupiter,1.28 AU,482 days,0.11,
1192,Gas Giant,2020,0.13353 Jupiters,0.347 x Jupiter,0.262 AU,55.1 days,0.2,
1193,Gas Giant,2021,6.021 Jupiters,1.14 x Jupiter,3.166 AU,5.6 years,0.05,
1194,Neptune-like,2021,13.6 Earths,0.335 x Jupiter,2.94 AU,8.1 years,0.13,
1195,Gas Giant,2015,3.74 Jupiters,1.16 x Jupiter,5.15 AU,12 years,0.06,
1196,Gas Giant,2011,1.27 Jupiters,1.22 x Jupiter,1.11 AU,362.5 days,0.17,
1197,Gas Giant,2011,20.96 Jupiters,1.08 x Jupiter,1.42 AU,1.8 years,0.3,
1198,Gas Giant,2009,0.717 Jupiters,1.25 x Jupiter,1.332 AU,498 days,0.69,
1199,Neptune-like,2021,8.9 Earths,0.261 x Jupiter,0.0777 AU,8.1 days,< 0.138,
1200,Super Earth,2021,3.5 Earths,1.69 x Earth,0.141 AU,19.9 days,< 0.293,
1201,Neptune-like,2021,12.7 Earths,0.322 x Jupiter,0.424 AU,103.5 days,0.27,
1202,Gas Giant,2021,1.14 Jupiters,1.22 x Jupiter,1.24 AU,1.4 years,0.41,
1203,Gas Giant,2022,21.105 Jupiters,1.08 x Jupiter,6.925 AU,17.7 years,0.36,
1204,Gas Giant,2019,2.5 Jupiters,1.18 x Jupiter,130.0 AU,957.3 years,0.0,Disk Kinematics
1205,Super Earth,2010,8.3 Earths,2.12 x Earth,0.0805 AU,9.5 days,0.05,
1206,Gas Giant,2011,1.964 Jupiters,1.2 x Jupiter,1.26 AU,433.8 days,0.08,
1207,Gas Giant,2012,8.386 Jupiters,1.12 x Jupiter,6.297 AU,15.6 years,0.84,
1208,Gas Giant,2018,2.33 Jupiters,1.19 x Jupiter,1.864 AU,2.7 years,0.23,
1209,Gas Giant,2005,0.44 Jupiters,1.28 x Jupiter,1.11 AU,439.3 days,0.09,
1210,Gas Giant,2021,0.97 Jupiters,1.23 x Jupiter,1.08 AU,310.4 days,0.2,
1211,Neptune-like,2004,22.2481 Earths,0.448 x Jupiter,0.12 AU,17 days,0.25,
1212,Gas Giant,2011,1.23 Jupiters,1.22 x Jupiter,1.98 AU,2.3 years,0.25,
1213,Gas Giant,2018,5.69 Jupiters,1.14 x Jupiter,Unknown,3.5 years,0.41,
1214,Gas Giant,2014,8.2 Jupiters,1.12 x Jupiter,0.81 AU,184.2 days,0.02,
1215,Neptune-like,2020,12.9 Earths,0.325 x Jupiter,0.243 AU,55.2 days,0.18,
1216,Gas Giant,2015,1.98 Jupiters,1.19 x Jupiter,0.72 AU,144.3 days,0.09,
1217,Gas Giant,2016,1.56 Jupiters,1.21 x Jupiter,1.134 AU,499.5 days,0.55,
1218,Gas Giant,2016,2.68 Jupiters,1.18 x Jupiter,0.706 AU,232.1 days,0.16,
1219,Gas Giant,2021,1.94 Jupiters,1.2 x Jupiter,2.84 AU,4.1 years,0.21,
1220,Super Earth,2014,10.1 Earths,0.226 x Jupiter,0.07765 AU,9.1 days,< 0.089,
1221,Gas Giant,2010,0.36 Jupiters,1.18 x Jupiter,0.25 AU,57.4 days,0.17,
1222,Gas Giant,2005,3.9 Jupiters,1.16 x Jupiter,0.0696 AU,6.7 days,0.14,
1223,Gas Giant,2006,1.31 Jupiters,1.22 x Jupiter,0.549 AU,147.7 days,0.16,
1224,Gas Giant,2009,0.59 Jupiters,1.26 x Jupiter,1.94 AU,2.7 years,0.19,
1225,Neptune-like,2022,21.61233 Earths,0.441 x Jupiter,0.234 AU,50.7 days,0.3,
1226,Gas Giant,2022,29.89588 Jupiters,1.06 x Jupiter,11.460432 AU,46.9 years,0.41,
1227,Gas Giant,2022,24 Jupiters,1.07 x Jupiter,17.0 AU,60.3 years,0.36,
1228,Gas Giant,2021,0.83 Jupiters,1.24 x Jupiter,0.492 AU,160 days,0.31,
1229,Neptune-like,2019,12.7 Earths,0.322 x Jupiter,0.217 AU,41.5 days,0.16,
1230,Gas Giant,2022,8.149 Jupiters,1.12 x Jupiter,15.898 AU,71.6 years,0.14,
1231,Neptune-like,2020,8.1 Earths,0.247 x Jupiter,0.256 AU,60.7 days,0.17,
1232,Gas Giant,2020,0.15228 Jupiters,0.708 x Jupiter,3.805 AU,9.5 years,0.16,
1233,Neptune-like,2016,6.83 Earths,0.224 x Jupiter,Unknown,15.6 days,0.0,
1234,Neptune-like,2016,7.08 Earths,0.228 x Jupiter,Unknown,31.7 days,0.0,
1235,Neptune-like,2016,14.9 Earths,0.353 x Jupiter,Unknown,3.1 years,0.0,
1236,Neptune-like,2016,26 Earths,0.492 x Jupiter,Unknown,131 days,0.0,
1237,Gas Giant,2016,0.233 Jupiters,0.91 x Jupiter,Unknown,3 years,0.0,
1238,Neptune-like,2020,14.4 Earths,0.347 x Jupiter,0.176 AU,34.2 days,0.25,
1239,Neptune-like,2020,22.9 Earths,0.456 x Jupiter,0.112 AU,17.8 days,0.5,
1240,Gas Giant,2009,1.42 Jupiters,1.21 x Jupiter,0.89 AU,345.7 days,0.52,
1241,Gas Giant,2011,15.04 Jupiters,1.09 x Jupiter,7.7 AU,24.7 years,0.14,
1242,Neptune-like,2019,8.62 Earths,0.256 x Jupiter,0.063 AU,7.8 days,0.2,
1243,Neptune-like,2019,12.44 Earths,0.318 x Jupiter,0.099 AU,15.1 days,0.2,
1244,Gas Giant,2022,8.135 Jupiters,1.12 x Jupiter,5.062 AU,14.1 years,0.36,
1245,Gas Giant,2021,6.77 Jupiters,1.13 x Jupiter,4.55 AU,7.3 years,0.12,
